Name;Entfernung;Preis;Veggie-Tauglich;Adresse;Kategorie
Perle;*;*;***;Spitalerstraße 22, 20095 Hamburg;Alles
Europapassage;*;**;***;Ballindamm 40 EG2, 20095 Hamburg;Alles
Max & Consorten;***;*;**;Spadenteich 1, 20099 Hamburg;Hausmannskost
Luigi's;***;**;***;Ditmar-Koel-Straße 21, 20459 Hamburg;Pizza / Pasta
Bella Italia;**;*;**;Brandstwiete 58, 20457 Hamburg;Pizza / Pasta
Restaurant Kabul;***;*;**;Steindamm 53, 20099 Hamburg;Sonstiges
Goot;**;***;*;Depenau 10, 20095 Hamburg;Hausmannskost
O-ren Ishii;**;***;***;Kleine Reichenstraße 18, 20457 Hamburg;Asiatisch
Better Burger Company;*;**;***;Rosenstraße Ecke, Gertrudenkirchhof, 20095 Hamburg;Burger
Bucks Burgers;**;**;***;Kurze Mühren 13, 20095 Hamburg;Burger
Mr. Cherng;**;***;***;Speersort 1, 20095 Hamburg;Asiatisch
Franco Rathauspassage;**;**;***;Rathausmarkt 7, 20095 Hamburg;Pizza / Pasta
